Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2021-12-11,4922.0,0.0,2.0,4529988,0.0,8500.0,1.0,3.0,2.0,1.0,8707.0,1128.0,2.0,0.0,4994.0,4.0,0.0,0.0,0.0,0.0,0.0,7359.0,7876.0,7793.0,83.965538,4078.0,0.0,49653,634.0,0.0,407.0,11018.0,1,1522.1719715960123,5212.02,9584.0,152661.0,9584.0,43192,5413.5,76988.0,2120.820812317885,1896.731758483464,9584.0,541766.0,5.0,355672.0,0.5723182818044562,17.694444,393008.0,8072,6
2021-12-12,4922.0,0.0,2.0,4529988,0.0,7359.0,1.0,3.0,2.0,1.0,8500.0,1188.0,2.0,0.0,5379.0,4.0,0.0,0.0,0.0,0.0,0.0,8072.0,8707.0,5334.0,67.376801,3466.0,0.0,49653,615.0,0.0,547.0,5857.0,1,1658.2722903342287,5242.14,9584.0,155065.0,9584.0,43192,5401.43,82887.0,2106.161166091648,1895.6513459381035,9584.0,529495.0,5.0,356211.0,0.5729908226061432,7.401235,393448.0,4972,6
2021-12-13,4922.0,0.0,2.0,4529988,0.0,8072.0,1.0,3.0,2.0,1.0,7359.0,1207.0,2.0,0.0,4689.0,4.0,0.0,0.0,0.0,0.0,0.0,4972.0,8500.0,4922.0,61.174759,2540.0,0.0,49653,566.0,0.0,533.0,4519.0,1,1523.254779156697,5303.7,8707.0,156615.0,9584.0,43192,5393.92,91681.0,2070.2462463218403,1893.2655220473184,9584.0,435900.0,5.0,356675.0,0.57339331005508,9.416667,393718.0,5618,6
2021-12-14,4922.0,0.0,2.0,4529988,0.0,4972.0,1.0,3.0,2.0,1.0,8072.0,1188.0,2.0,0.0,3628.0,4.0,0.0,0.0,0.0,0.0,0.0,5618.0,7359.0,7876.0,66.918088,2325.0,0.0,49653,605.0,0.0,486.0,7526.0,1,1785.7264192607752,5455.64,9922.0,157375.0,9922.0,43192,5437.53,93747.0,2125.2217628346434,1946.627202044804,9922.0,452028.0,5.0,356925.0,0.5736895442176027,11.888889,393889.0,9922,6
2021-12-15,4922.0,0.0,2.0,4529988,0.0,5618.0,1.0,3.0,2.0,1.0,4972.0,1199.0,2.0,0.0,3927.0,4.0,0.0,0.0,0.0,0.0,0.0,9922.0,8072.0,8707.0,50.430525,3807.0,0.0,49653,608.0,0.0,301.0,8178.0,1,1963.2733550547816,5591.26,10588.0,159849.0,10588.0,43192,5503.97,99243.0,2231.569757834858,2007.5656672162008,10588.0,533041.0,5.0,357413.0,0.5743663351507462,14.544444,394347.0,10588,6
2021-12-16,4972.0,0.0,2.0,4529988,0.0,9922.0,1.0,3.0,2.0,1.0,5618.0,1173.0,2.0,0.0,5639.0,4.0,0.0,0.0,0.0,0.0,0.0,10588.0,4972.0,8500.0,60.407625,3839.0,0.0,49653,696.0,0.0,660.0,9632.0,1,2100.5567013429686,5750.54,11803.0,162097.0,11803.0,43192,5573.24,104188.0,2383.027008419886,2102.9206967865216,11803.0,548321.0,5.0,357891.0,0.5750403209971284,15.566667,394792.0,11803,6
2021-12-17,4972.0,0.0,2.0,4529988,0.0,10588.0,1.0,3.0,2.0,1.0,9922.0,1197.0,2.0,0.0,6382.0,4.0,0.0,0.0,0.0,0.0,0.0,11803.0,5618.0,7359.0,71.396348,4190.0,0.0,49653,711.0,0.0,744.0,0.0,1,2156.794133276192,5867.24,11803.0,164350.0,11803.0,43192,5605.26,107354.0,2447.0592393356173,2146.0770158554915,11803.0,558994.0,5.0,358242.0,0.5756345743773855,13.838889,395171.0,10025,6
2021-12-18,4972.0,0.0,2.0,4529988,0.0,11803.0,1.0,3.0,2.0,1.0,10588.0,1212.0,2.0,0.0,6615.0,4.0,0.0,0.0,0.0,0.0,0.0,10025.0,9922.0,8072.0,90.117902,3485.0,0.0,49653,638.0,0.0,785.0,14293.0,1,2214.291612332416,6000.22,11803.0,166792.0,11803.0,43192,5627.63,110929.0,2495.149729996884,2181.57199671982,11803.0,577802.0,5.0,358676.0,0.5763843825689529,9.2,395616.0,10134,6
2021-12-19,4972.0,0.0,2.0,4529988,0.0,10025.0,1.0,3.0,2.0,1.0,11803.0,1187.0,2.0,0.0,6429.0,4.0,0.0,0.0,0.0,0.0,0.0,10134.0,10588.0,4972.0,82.333833,3421.0,0.0,49653,561.0,0.0,822.0,6808.0,1,2239.4981977619536,6084.58,11803.0,169425.0,11803.0,43192,5613.83,113808.0,2477.40907360102,2164.198025140864,11803.0,596863.0,5.0,359065.0,0.5771079249481187,5.166667,396139.0,7639,6
2021-12-20,4972.0,0.0,2.0,4529988,0.0,10134.0,1.0,3.0,2.0,1.0,10025.0,1223.0,2.0,0.0,5590.0,4.0,0.0,0.0,0.0,0.0,0.0,7639.0,11803.0,5618.0,73.32675,2416.0,0.0,49653,567.0,0.0,802.0,5942.0,1,2205.9276834125126,6197.9,11803.0,171398.0,11803.0,43192,5610.6,117376.0,2435.407883954136,2160.2276021134226,11803.0,610449.0,5.0,359439.0,0.5776359612802824,4.577778,396573.0,8082,6
